,index,text,sentiment,confidence,pain_points,summary_zh
0,0,"这个酒店硬件还可以,但服务太差.首先酒店任何员工对客人都没有应有的尊重,客人可以被他们呼来呵去,其次...",negative,0.95,"服务差,员工不尊重,check-in慢,check-out慢,房间不干净,投诉无门,隔音差",用户批评酒店服务差，包括员工态度傲慢、入住退房效率低、房间清洁不佳、投诉无门和隔音问题，整体体验负面。
1,1,比超市便宜超级多，不知道是第几次回购了...,positive,0.95,,用户称赞商品价格比超市便宜很多，并表示已多次回购。
2,2,触摸键太敏感.不好用....,negative,0.9,触摸键太敏感,用户反映触摸键过于敏感，导致使用体验不佳。
3,3,价格实惠，味道酸酸甜甜清脆爽口。要买的朋友可以乘活动优惠买喽。...,positive,0.95,,用户认为商品价格实惠，味道酸酸甜甜清脆爽口，并建议其他买家趁活动优惠购买。
4,4,看着不错，还没用，一直在京东买...,neutral,0.6,,用户表示商品外观不错，但尚未使用，并提到习惯在京东购物。
5,5,相信京东！第一次在京东上买水果，感觉还不错。...,positive,0.9,,用户首次在京东购买水果，表示信任京东，整体体验良好。
6,6,今天终于又看了一次《输赢》，第一次看觉得故事情节很吸引人，其他的就没有什么了，但第二次看下来感觉不一...,positive,0.9,,用户对《输赢》的第二次观看体验印象深刻，赞赏书中角色的人生态度和处事哲学，强调生活快乐的重要性。
7,7,入住前临时加担保，竟然必须把原来的订单作废，体验差！...,negative,0.9,"订单处理不便,客服体验差",用户抱怨入住前临时要求担保，导致原订单作废，体验不佳。
8,8,衣服质量不错，款式穿着挺好看的，较为时尚吧，面料不错有质感，穿着舒适很合身帅气，性价比较高价格很实惠...,positive,0.95,,用户对衣服的质量、款式、面料、舒适度和性价比都表示满意，整体评价积极。
9,9,包装很好，不应该抱太大期望，毕竟价格在哪放着呢...,neutral,0.7,,用户认为包装不错，但基于价格因素，对商品整体期望不高。
10,10,质量不错。和我想像中的一样。一次满意的购物。...,positive,0.95,,用户对商品质量满意，购物体验符合预期。
11,11,全部都是坏的，还是到现场店里买吧，网上便宜不了多少，太差...,negative,0.95,质量差,用户反映商品全部损坏，建议到实体店购买，并认为网上价格优势不大，整体评价很差。
12,12,恢复出厂设置还是这样。醉了。玩儿着总弹出来。...,negative,0.9,"系统问题,频繁弹窗",用户反映恢复出厂设置后问题依旧，使用中频繁弹窗，表达不满。
13,13,真的很不错，这个平板很好用...,positive,0.95,,用户对平板电脑表示非常满意，认为很好用。
14,14,苹果很好，买给儿子吃的。物流也很快！...,positive,0.95,,用户对苹果质量和物流速度表示满意，整体好评。
15,15,酒店环境一般，服务有待进一步提高，态度不热情，，距离机场近，去机场方便...,neutral,0.7,"服务态度不热情,环境一般",酒店环境一般，服务态度有待提高，但距离机场近，交通便利。
16,16,分区只有一个C盘，而且没有光驱。备份系统比较麻烦。如果随意分区的话，很可能把备份系统给破坏...,negative,0.8,"分区不便,备份系统麻烦",用户抱怨电脑只有一个C盘且无光驱，导致备份系统操作不便，随意分区可能破坏备份系统。
17,17,好差，洗完头发又养头皮屑走多，根本无法保证是正品，只能用一次，第二次都不想用...,negative,0.95,"质量差,头皮屑问题,正品疑虑,使用效果不佳",用户抱怨产品使用后头皮屑增多，怀疑非正品，且效果差，仅使用一次就不想再用。
18,18,酒店由假日酒店改成了千禧酒店，服务质量还不错，不过专业技能需要进一步提高--可能是有一些新人的原因吧...,positive,0.8,专业技能不足,酒店更名后服务质量不错，但专业技能有待提高，可能因新员工导致，总体评价积极。
19,19,洗完出头屑，这种情况要不要给个说法？...,negative,0.8,质量不佳,用户反映使用后出现头屑问题，要求商家给出解释。
20,20,我是前天去买了这款手机，拿来摆弄两天后，发现这款机子确实不错她几乎包含了市场上中等机所有的功能，且又...,positive,0.9,,用户购买手机后使用两天，认为功能齐全且为彩屏，整体评价积极。
21,21,使用日期都是到2028年的，京东自营的东西真心不错，值得信赖的...,positive,0.95,,用户称赞商品保质期长至2028年，并高度评价京东自营的可靠性和信任度。
22,22,这么多东西，才99元真划算，相信JD，好评...,positive,0.95,,用户认为商品价格划算，对京东表示信任并给予好评。
23,23,此书牵强附会，完全无涉公平问题，纯粹为了炫耀自己的伟大。...,negative,0.9,"内容牵强附会,主题无关",用户批评书籍内容牵强附会，与公平问题无关，认为作者在炫耀自己。
24,24,东西很不错，质量挺好的，穿着挺舒服，很好的一次购物。赞一个...,positive,0.95,,用户对商品质量、穿着舒适度表示满意，并称赞购物体验良好。
25,25,好渣阿第一次穿就起毛还烂了狗血...,negative,0.95,"质量差,起毛,破损",用户抱怨商品质量差，第一次穿就起毛并破损，表达强烈不满。
26,26,火龙果太小了，我在超市买，一斤左右很大的果，这个太小了！要是在超市，我肯定看都不看一眼！失望！！？...,negative,0.95,尺寸不符,用户抱怨火龙果尺寸太小，与超市购买的相比差距大，表示失望。
27,27,什么三鹿蒙牛的都太可怕了 还是从小儿喝的北京自己的三元最靠谱儿...,positive,0.9,,用户表达了对三元品牌的信任和偏好，认为其比三鹿和蒙牛更可靠。
28,28,"本人住过国内外酒店过百家,在珠海都住过好几家,我们4大2小于国庆节入住这家挂牌四星公寓酒店的豪华三人...",neutral,0.7,"设施不豪华,毛巾清洁不专业,床上用品质量普通,保养不足,窗户安全隐患",评论指出酒店环境好、服务态度佳，但设施仅舒适水平，存在毛巾清洁、床上用品质量和窗户安全等问题，硬件最多三星。
29,29,我是经过老师的推荐从网上买的这本书，最近看了几天着重看了一下中小型网络系统方案这块。我觉得这本的好处...,positive,0.95,,用户推荐此书，认为内容逻辑清晰、易于理解，能有效指导实践，从设计到项目完成都很顺利。
30,30,轻便，电池使用时间长，速度也可以，看码率5M以下的h264，720p视频质量尚可。其他功能不错。...,positive,0.9,,用户评论商品轻便、电池续航长、速度不错，视频质量尚可，整体功能表现良好。
31,31,试过了，一般般，还好价格不贵...,neutral,0.7,,用户认为商品表现一般，但价格便宜，整体评价中性。
32,32,儿子六岁。爱看书，这是送给他的六一礼物。中午，看着动画片。我说，妈妈给你买了本书，放在他怀里，走开。...,positive,0.95,,用户表示孩子非常喜欢这本书，作为六一礼物，孩子着迷地反复阅读，享受阅读乐趣，尽管理解可能不完全。
33,33,芭呐呐弗雷喔还有那个棒子的香蕉牛奶都是一个味儿，果汁奶味儿！！！！！我很纳闷为什么蒙牛那个破奶要卖那...,negative,0.9,"价格过高,口味不佳",用户批评蒙牛香蕉牛奶价格昂贵且口味与其他品牌相似，表达后悔购买。
34,34,不是中粮自己生产的啊啊啊，口味质量跟自己生产的有差距啊。是委托加工的。怪不得便宜啊啊啊。还是去对手网...,negative,0.9,"质量不符,非原厂生产",用户抱怨产品不是中粮原厂生产，口味质量有差距，是委托加工的，因此便宜但质量不佳，建议去对手网站购买。
35,35,好像是假货，洗完头皮超痒的。...,negative,0.9,"质量差,使用不适",用户怀疑商品是假货，使用后头皮发痒，表达不满。
36,36,今天下午商业中心看到这只绿色的蒙牛我就像发现新大陆一样大喊大叫 完了之后身边那些派传单的帅锅告诉我这...,neutral,0.6,,用户误将绿色动物认作蒙牛，表达困惑和坚持，但未涉及商品或服务的具体评价。
37,37,地理位置较好，在西街的街头处，购物游览交通都较方便，闹中取静，房间内设施也还可以，虽然离城市中的四星...,positive,0.8,前台处理不当,评论者总体上对酒店的地理位置、设施和旅行体验表示满意，但指出前台在处理订房问题时不够周到，建议酒店改进服务理念。
38,38,抵制蒙牛比抵制日货更靠谱。...,negative,0.9,,用户表达了对蒙牛品牌的抵制态度，暗示负面情感，但未提及具体商品或服务问题。
39,39,自带的VISTA系统比较慢。而且就分了一个区。一个C盘250G.从新回复出厂设置。把C盘调整到40G...,negative,0.9,"系统慢,分区不合理,存储空间丢失",用户抱怨系统运行缓慢、分区设置不合理导致存储空间丢失，建议厂家预先分好区。
40,40,苹果很新鲜，酸甜口味，水分足，我很喜欢吃这样子的苹果，相比我之前在其他店铺买的大一点点，不错！...,positive,0.95,,用户称赞苹果新鲜、酸甜可口、水分充足，尺寸比之前购买的大，整体满意。
41,41,我只想说！！！！用了头皮屑直飞，头痒，我而且是短发！最失败的一次购物！退也不能退了，毕竟用了多了，我...,negative,0.95,"头皮屑增多,头痒,疑似假货",用户使用后出现头皮屑增多和头痒问题，怀疑是假货，表示购物失败且无法退货。
42,42,一直京东 京东购物放心 值得信赖 发货很快 快递员辛苦送货上门...,positive,0.95,,用户对京东购物体验表示满意，称赞其发货快、快递员服务好，整体值得信赖。
43,43,太小了！！绝对从不差评，这次要插评了！...,negative,0.95,尺寸太小,用户抱怨商品尺寸太小，表示通常不差评但这次必须差评。
44,44,很好，送给男朋友的，他说穿起来很舒服。穿起来不会显说走路什么的不舒服，而且物流很快。然后穿起来可以修...,positive,0.95,,用户对商品表示满意，称赞穿着舒适、修身显腿长，并表扬物流快速，表示会再次购买。
