"序号","一级大类","二级标签","核心特征说明","样本内容"
"1","阴阳怪气（正话反说）","反讽夸赞","表面夸奖，实则讽刺对方言行离谱、逻辑牵强","你可真是个逻辑天才，一般人根本想不出这种说法"
"2","阴阳怪气（正话反说）","摆烂附和","敷衍认同，暗含无奈与不满，潜台词是全是你的问题","行行行，你说什么都是对的，没必要跟别人争辩"
"3","阴阳怪气（正话反说）","夸张捧杀","过度抬高对方，用极端夸赞制造挖苦效果","水平太高了，我这辈子都达不到这种高度"
"4","阴阳怪气（正话反说）","客套反语","语气礼貌温柔，实际充满吐槽和嫌弃","真是辛苦你特地说出这种让人大开眼界的话了呢"
"5","阴阳怪气（正话反说）","语出惊人式嘲讽","调侃发言离谱，每次输出都颠覆常规认知","不愧是你，每次发言都能刷新我的三观"
"6","阴阳怪气（正话反说）","含蓄留白","话不说透，暗示内里有问题，懂的人都能get讽刺","懂得都懂，有些话不方便公开多说"
"7","阴阳怪气（正话反说）","反向认同","嘴上说赞同，实际完全不认可对方观点","很难不支持，毕竟没人能反驳你的这套理论"
"8","阴阳怪气（正话反说）","观感讽刺","吐槽操作迷惑，让人震惊无语","这波操作属实让我狠狠大开眼界了"
"9","阴阳怪气（正话反说）","拔高调侃","讽刺言论离谱到可以当成范本","建议直接把这段话当成教科书标准答案"
"10","阴阳怪气（正话反说）","甩锅式反说","暗示永远都是别人有错，自己永远没问题","原来全世界的道理，都掌握在你一个人手里"
"11","阴阳怪气（正话反说）","被动说服","假装被说服，实则内心完全不认同","听完这番话，我彻底没什么好反驳的了"
"12","阴阳怪气（正话反说）","格局讽刺","嘲讽自我感觉良好，想法狭隘还自觉格局很大","格局直接拉满，普通人根本跟不上你的思路"
"13","阴阳怪气（正话反说）","认知刷新","反复强调对方发言离谱，突破常规认知底线","每次看你讲话，都能不断刷新我的认知下限"
"14","阴阳怪气（正话反说）","对错倒置","讽刺永远双标，自身毫无过错","你当然没有错，错的永远是身边所有人"
"15","阴阳怪气（正话反说）","自我贬低式讽刺","放低自己，反衬对方言论离谱","属实是高水平发言，我普通人自愧不如"
"16","阴阳怪气（正话反说）","无懈可击式反讽","表面说对方毫无漏洞，实际漏洞百出","你说的都对，我完全找不到任何反驳的角度"
"17","阴阳怪气（正话反说）","能力调侃","讽刺理解能力、认知能力异于常人","这理解能力真是无人能及，太厉害了"
"18","阴阳怪气（正话反说）","行为调侃","讽刺能说出这类话本身就是一种特殊本事","能说出这种观点，说实话也是一种个人本事"
"19","纯表情包评论","单Emoji无语类","单个表情，传递无语、嫌弃、嘲讽情绪，无文字","🤡"
"20","纯表情包评论","单Emoji敷衍类","单个表情，表达无奈、流汗、尴尬心态","🙄"
"21","纯表情包评论","单Emoji尴尬类","单个表情，代表尴尬扣脚、无语凝噎","😅"
"22","纯表情包评论","单Emoji破防类","单个表情，传递震惊、破防、无法理解","💀"
"23","纯表情包评论","单Emoji无奈类","单个表情，代表无奈叹气、无力吐槽","🤦‍♀️"
"24","纯表情包评论","多表情组合讽刺","多个负面表情拼接，强化嘲讽无语情绪","🤡🙄💀"
"25","纯表情包评论","多表情组合尴尬","尴尬+无奈+束手无措表情混搭","😅🤏🤦‍♀️"
"26","纯表情包评论","情绪崩溃组合","融化、无语、空洞表情组合","🫠🙃😶"
"27","纯表情包评论","敷衍客套组合","表面点赞，实际冷漠无语","👍🙂😓"
"28","纯表情包评论","疑惑无语组合","怀疑、不解、空洞感表情搭配","🥲🤨🫥"
"29","纯表情包评论","嫌弃吐槽组合","无语、不屑、搞怪表情合集","😒🫤🤌"
"30","纯表情包评论","负面混搭组合","吐槽、恶心、小丑表情叠加","🙃💩🤡"
"31","乱码无意义字符","口语灌水乱码","无意义口语叠词+网络常用软萌乱码","阿巴阿巴阿巴qwq"
"32","乱码无意义字符","字母重复灌水","纯英文字母无序重复，无语义","ksksksjsjdhdbd"
"33","乱码无意义字符","符号堆砌乱码","问号、感叹号、@符号大量堆砌","？？？@@@@!!!!"
"34","乱码无意义字符","生僻字组合乱码","超高难度生僻汉字堆砌，无实际语义","龘靐齉齾㵘䨻"
"35","乱码无意义字符","键盘随机字母","键盘随手敲击连续字母组合","asdfghjklzxcvbnm"
"36","乱码无意义字符","情绪符号乱码","语气叠词+分割符号混搭","呜呜呜////;;;;"
"37","乱码无意义字符","数字符号混合","网络流行数字+特殊符号堆砌","哈哈哈666&&&&$$$"
"38","乱码无意义字符","字母数字组合","英文字母+阿拉伯数字随机拼接","qwertyuiop123456"
"39","乱码无意义字符","口语拟声乱码","无意义拟声词重复+字母后缀","哩哩啦啦嘟嘟嘟mmm"
"40","乱码无意义字符","全符号无序组合","标点、等号、感叹号无序堆叠","！！？？……====xxxx"
"41","乱码无意义字符","偏旁部首乱码","汉字偏旁部首单独堆砌，不成字","凵冂匚勹乀亅丨丶"
"42","乱码无意义字符","字母符号混合乱码","小写字母+货币符号+标点混搭","xhsbsjwkwpqpqoo$$!!"
"43","长篇大论评论","整体观感吐槽","篇幅长、语句冗余，通篇吐槽整体观感差、逻辑不通","说实话这件事我从最开始看到就有很多想法，本来一开始没打算多说什么，但是越往下思考越觉得整体问题很多，不管是整体逻辑还是各个细节都经不起推敲，整体观感非常糟糕，方方面面都有值得吐槽的地方。"
"44","长篇大论评论","中立破防长文","一开始保持客观，后续逐步输出大量不满观点","我一直都尽量保持客观中立的态度看待整件事情，不愿意随便发表偏激言论，但随着各种细节一点点曝光，实在没办法再沉默下去，很多地方都完全不合常理，让人根本没办法认同。"
"45","长篇大论评论","细节离谱长评","梳理过程，吐槽多处细节漏洞多、前后矛盾","本来只是随手刷到，简单看了一眼，结果越看越觉得离谱，从头到尾梳理一遍之后，发现漏洞随处可见，前后逻辑矛盾，很多说法根本站不住脚，整体非常草率。"
"46","长篇大论评论","情绪宣泄长文","忍不住长篇输出，吐槽做事考虑不周、敷衍潦草","本来不想长篇大论讲这么多，但是实在忍不了，不管从哪个角度去分析，这件事都处理得很有问题，很多环节考虑得特别不周全，完全没有经过认真思考。"
"47","长篇大论评论","逻辑梳理长文","深度梳理事件，指出整体逻辑混乱、观点拉扯","从一开始的表象到背后的各种原因，全部梳理一遍之后就能发现，整个事情存在大量不合理之处，观点反复来回拉扯，没有一个清晰完整的逻辑，看着让人非常难受。"
"48","长篇大论评论","认知落差长评","预期和现实差距大，深入了解后发现问题严重","我本来以为只是小问题，简单了解一下就过去了，结果深入了解之后才发现问题远比想象中严重，各个细节都存在明显疏漏，整体表达混乱，没有任何说服力可言。"
"49","长篇大论评论","理性较真长文","长期观望后发言，吐槽不符合正常常识与逻辑","讲真的，我观望了很久才选择出来说两句，不是故意较真，只是很多地方实在太过离谱，完全不符合正常逻辑，正常人都很难接受这样的说法和处理方式。"
"50","长篇大论评论","浅层观看吐槽","批评大众只看表面，全篇指出文本空洞、逻辑硬伤多","很多人可能都没仔细认真看完，只是看了表面就随便下定论，但只要完整梳理全部过程，就能发现里面到处都是逻辑硬伤，内容冗余又空洞。"
