"评论ID","商品类别","情感倾向（0=负面，1=正面）","具体痛点（正面评论填“无”）","原评论核心内容"
"R0001","酒店","0","服务态度差、办理入住/退房效率低、房间清洁不到位、投诉无门、隔音差","酒店服务及体验整体不佳，存在多项服务问题和硬件缺陷"
"R0002","个护","1","无","个护产品使用体验良好，无负面问题"
"R0003","3C数码","0","触摸键过于敏感","3C数码产品触摸键设计问题，使用体验受影响"
"R0004","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0005","个护","1","无","个护产品使用体验良好，无负面问题"
"R0006","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0007","书籍","1","无","书籍内容及品质良好，无负面问题"
"R0008","酒店","0","临时加担保需作废原订单，体验差","酒店订单操作流程繁琐，临时加担保影响入住体验"
"R0009","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0010","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0011","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0012","生鲜","0","商品全部损坏、性价比低","生鲜产品全部损坏，品质差且性价比低"
"R0013","3C数码","0","恢复出厂设置后仍频繁弹窗","3C数码产品系统故障，恢复出厂设置仍无法解决弹窗问题"
"R0014","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0015","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0016","酒店","0","环境一般、服务态度不热情","酒店环境普通，服务人员态度不热情，体验一般"
"R0017","3C数码","0","仅单C盘、无光驱、备份系统麻烦","3C数码产品硬件配置不足，系统备份操作繁琐"
"R0018","个护","0","产生头皮屑、疑似假货","个护产品疑似假货，使用后产生头皮屑，影响使用体验"
"R0019","酒店","1","无","酒店入住体验良好，无负面问题"
"R0020","个护","0","洗完产生头皮屑","个护产品使用后产生头皮屑，使用效果不佳"
"R0021","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0022","个护","1","无","个护产品使用体验良好，无负面问题"
"R0023","个护","1","无","个护产品使用体验良好，无负面问题"
"R0024","书籍","0","内容牵强附会、炫耀倾向明显","书籍内容质量差，存在牵强附会和炫耀的问题"
"R0025","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0026","服装","0","首次穿着即起毛、破损","服装产品质量差，首次穿着就出现起毛、破损问题"
"R0027","生鲜","0","火龙果个头过小、性价比低","生鲜火龙果个头过小，品质不佳且性价比低"
"R0028","食品饮料","0","品牌信任度低","食品饮料品牌信任度低，消费者认可度不高"
"R0029","酒店","1","无","酒店入住体验良好，无负面问题"
"R0030","书籍","1","无","书籍内容及品质良好，无负面问题"
"R0031","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0032","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0033","书籍","1","无","书籍内容及品质良好，无负面问题"
"R0034","食品饮料","0","价格偏高、口感不符合预期","食品饮料价格偏高，口感未达到消费者预期"
"R0035","生鲜","0","非品牌自营、口味与品质不佳、偏酸","生鲜非品牌自营，口味和品质不佳，口感偏酸"
"R0036","个护","0","疑似假货、头皮瘙痒","个护产品疑似假货，使用后出现头皮瘙痒问题"
"R0037","食品饮料","0","广告宣传与实物不符、品牌信任度降低","食品饮料广告宣传与实物不一致，导致品牌信任度下降"
"R0038","酒店","1","无","酒店入住体验良好，无负面问题"
"R0039","食品饮料","0","抵制该品牌","消费者对食品饮料品牌不满，出现抵制情况"
"R0040","3C数码","0","自带VISTA系统运行慢、仅单C盘、分区调整后存储空间丢失","3C数码产品系统运行缓慢，硬件配置不足，分区调整后丢失存储空间"
"R0041","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0042","个护","0","产生头皮屑、头皮瘙痒、疑似假货","个护产品疑似假货，使用后产生头皮屑、头皮瘙痒，使用效果差"
"R0043","个护","1","无","个护产品使用体验良好，无负面问题"
"R0044","生鲜","0","商品个头过小","生鲜产品个头过小，品质未达到预期"
"R0045","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0046","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0047","食品饮料","0","抵制该品牌","消费者对食品饮料品牌不满，出现抵制情况"
"R0048","酒店","0","噪音大、房间面积小","酒店房间噪音大、面积小，居住体验不佳"
"R0049","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0050","服装","0","穿着效果不佳","服装产品穿着效果未达到消费者预期"
"R0051","3C数码","0","使用体验差、性价比低","3C数码产品整体使用体验差，产品性价比低"
"R0052","酒店","1","无","酒店入住体验良好，无负面问题"
"R0053","个护","1","无","个护产品使用体验良好，无负面问题"
"R0054","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0055","服装","0","商品质量差","服装产品整体质量较差，存在品质问题"
"R0056","酒店","0","位置偏僻、房间有霉味、清洁不到位、无热水、早餐差、服务不专业","酒店位置偏僻，房间硬件及清洁存在多项问题，早餐和服务质量差"
"R0057","书籍","0","个人未坚持阅读（非商品本身问题，情感倾向为0）","因个人原因未坚持阅读书籍，非商品本身存在质量问题"
"R0058","酒店","1","无","酒店入住体验良好，无负面问题"
"R0059","个护","0","产生头皮屑","个护产品使用后产生头皮屑，使用效果不佳"
"R0060","3C数码","0","硬盘噪音大、价格偏高","3C数码产品硬盘噪音大，产品定价偏高"
"R0061","3C数码","0","噪音大、像素虚假宣传、使用体验差","3C数码产品噪音大，像素存在虚假宣传，整体使用体验差"
"R0062","酒店","1","无","酒店入住体验良好，无负面问题"
"R0063","服装","0","商品质量差","服装产品整体质量较差，存在品质问题"
"R0064","酒店","0","整体体验差（无具体明细）","酒店整体入住体验较差，未说明具体问题"
"R0065","服装","0","布料质量差、尺码适配存疑","服装产品布料质量差，尺码适配存在问题"
"R0066","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0067","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0068","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0069","服装","0","包装简陋、布料差、做工粗糙、尺码偏小","服装产品包装简陋，布料和做工质量差，尺码偏小"
"R0070","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0071","酒店","1","无","酒店入住体验良好，无负面问题"
"R0072","食品饮料","0","产品有问题不赔偿、售后差","食品饮料产品存在质量问题，商家拒绝赔偿且售后服务差"
"R0073","酒店","0","登记效率低、早餐需排队且难吃、服务不采纳建议、性价比低","酒店登记效率低，早餐质量差且需排队，不采纳消费者建议，性价比低"
"R0074","3C数码","0","未兑现赠送保护套承诺、客服无回应","3C数码商家未兑现赠品承诺，客服无回应，售后服务差"
"R0075","个护","1","无","个护产品使用体验良好，无负面问题"
"R0076","食品饮料","1","无","食品饮料产品品质及口感良好，无负面问题"
"R0077","食品饮料","0","品牌信任度低、抵制该品牌","食品饮料品牌信任度低，消费者出现抵制情况"
"R0078","酒店","1","无","酒店入住体验良好，无负面问题"
"R0079","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0080","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0081","酒店","1","无","酒店入住体验良好，无负面问题"
"R0082","生鲜","0","商品部分损坏、担心影响健康","生鲜产品部分损坏，消费者担心影响身体健康"
"R0083","3C数码","0","发货延迟、疑似假货、内存虚假宣传、商家失联","3C数码商家发货延迟，产品疑似假货且内存虚假宣传，商家失联"
"R0084","生鲜","0","性价比低、个头小、口感差","生鲜产品性价比低，个头小且口感差，品质不佳"
"R0085","酒店","1","无","酒店入住体验良好，无负面问题"
"R0086","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0087","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0088","3C数码","0","不送货上门、包装破损、疑似二手货、无发票、无入网许可证、通知不及时","3C数码商家不送货上门，产品包装破损、疑似二手货，无发票和入网许可证，通知不及时"
"R0089","酒店","1","无","酒店入住体验良好，无负面问题"
"R0090","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0091","3C数码","0","分辨率低、像素差、信号弱","3C数码产品分辨率低、像素差，信号接收能力弱"
"R0092","服装","0","质量差、与图片不符","服装产品质量差，实物与网上图片不一致"
"R0093","书籍","0","商家未发货且未通知、擅自取消订单","书籍商家未发货且未通知消费者，擅自取消订单"
"R0094","服装","0","换货处理不及时、商家未明确回应","服装换货处理效率低，商家未对问题做出明确回应"
"R0095","3C数码","0","听筒音量小、摄像头拍照效果一般","3C数码产品听筒音量小，摄像头拍照效果未达到预期"
"R0096","生鲜","0","商品个头过小、与预期不符","生鲜产品个头过小，实物与消费者预期不一致"
"R0097","个护","0","洗发与润发瓶身无区别、润发效果差、头发易打结","个护产品洗发润发瓶身无区分，润发效果差，使用后头发易打结"
"R0098","服装","0","系统自动确认收货、未手动操作","服装订单系统自动确认收货，消费者未进行手动操作确认"
"R0099","服装","0","商品有破洞、退换货需用户承担运费、商家质检与售后规则不合理","服装产品有破洞，退换货需消费者承担运费，商家质检和售后规则不合理"
"R0100","服装","1","无","服装产品品质及穿着体验良好，无负面问题"
"R0101","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0102","生鲜","0","商品个头过小、疑似虚假宣传、质疑好评真实性","生鲜产品个头过小，疑似存在虚假宣传，消费者质疑好评真实性"
"R0103","服装","0","线头过多","服装产品做工粗糙，存在线头过多的问题"
"R0104","3C数码","0","触摸板不可用、键盘故障、散热差、商家拒绝依法退货","3C数码产品触摸板和键盘故障，散热效果差，商家拒绝依法退货"
"R0105","个护","1","无","个护产品使用体验良好，无负面问题"
"R0106","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0107","个护","0","头皮长痘、疑似假货","个护产品疑似假货，使用后出现头皮长痘问题"
"R0108","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
"R0109","酒店","1","无","酒店入住体验良好，无负面问题"
"R0110","酒店","1","无","酒店入住体验良好，无负面问题"
"R0111","服装","0","发货速度极慢","服装商家发货速度极慢，物流效率低"
"R0112","食品饮料","0","品牌信任度低、失望","消费者对食品饮料品牌信任度低，使用体验感到失望"
"R0113","3C数码","0","使用一天后屏幕闪烁故障","3C数码产品使用一天即出现屏幕闪烁故障，质量差"
"R0114","生鲜","1","无","生鲜产品品质良好，无负面问题"
"R0115","3C数码","0","使用体验不佳（无具体明细）","3C数码产品整体使用体验不佳，未说明具体问题"
"R0116","3C数码","0","商家未兑现赠品承诺、促销活动规则不合理","3C数码商家未兑现赠品承诺，促销活动规则设置不合理"
"R0117","3C数码","0","画面模糊、运行卡顿、电量消耗快、疑似虚假宣传（实为宽屏手机）","3C数码产品画面模糊、运行卡顿、耗电快，疑似虚假宣传"
"R0118","家电","0","不清楚安装方式、找不到安装人员","家电产品安装方式不明确，无法找到专业安装人员"
"R0119","个护","0","包装无间隔保护、商品漏出","个护产品包装无间隔保护，出现商品漏出的情况"
"R0120","个护","0","疑似假货、使用无效果","个护产品疑似假货，使用后未达到预期效果"
"R0121","服装","0","发货速度慢、商品发错、换货耗时久","服装商家发货慢，发错商品，换货处理耗时久"
"R0122","3C数码","1","无","3C数码产品使用体验良好，无负面问题"
