review_id,category,label_raw,review_text,source_file
R0001,酒店,0,"这个酒店硬件还可以,但服务太差.首先酒店任何员工对客人都没有应有的尊重,客人可以被他们呼来呵去,其次CHECK-IN 和CHECK-OUT 都要半小时以上,强烈BS张灵芳和左瑞雪,效率低下,态度傲慢.第三,房间清洁极不干净.第四,投诉无门,他们不会接受你的投诉更不会有人和你说对不起.第五,酒店主要面向团队,不喜欢商务客人第六,房间隔音极差,隔",online_shopping_10_cats.csv
R0002,洗发水,1,比超市便宜超级多，不知道是第几次回购了,online_shopping_10_cats.csv
R0003,手机,0,触摸键太敏感.不好用.,online_shopping_10_cats.csv
R0004,水果,1,价格实惠，味道酸酸甜甜清脆爽口。要买的朋友可以乘活动优惠买喽。,online_shopping_10_cats.csv
R0005,洗发水,1,看着不错，还没用，一直在京东买,online_shopping_10_cats.csv
R0006,水果,1,相信京东！第一次在京东上买水果，感觉还不错。,online_shopping_10_cats.csv
R0007,书籍,1,今天终于又看了一次《输赢》，第一次看觉得故事情节很吸引人，其他的就没有什么了，但第二次看下来感觉不一样，印象特别深刻的是周锐对生活得态度，以及他做人处事的态度，的确人生是短暂的，事业只是生活的一部分，最重要的反而是如何使自己过得开心快乐。另外就是方威的注重过程还是结果了。,online_shopping_10_cats.csv
R0008,酒店,0,入住前临时加担保，竟然必须把原来的订单作废，体验差！,online_shopping_10_cats.csv
R0009,衣服,1,衣服质量不错，款式穿着挺好看的，较为时尚吧，面料不错有质感，穿着舒适很合身帅气，性价比较高价格很实惠。,online_shopping_10_cats.csv
R0010,水果,1,包装很好，不应该抱太大期望，毕竟价格在哪放着呢,online_shopping_10_cats.csv
R0011,平板,1,质量不错。和我想像中的一样。一次满意的购物。,online_shopping_10_cats.csv
R0012,水果,0,全部都是坏的，还是到现场店里买吧，网上便宜不了多少，太差,online_shopping_10_cats.csv
R0013,平板,0,恢复出厂设置还是这样。醉了。玩儿着总弹出来。,online_shopping_10_cats.csv
R0014,平板,1,真的很不错，这个平板很好用,online_shopping_10_cats.csv
R0015,水果,1,苹果很好，买给儿子吃的。物流也很快！,online_shopping_10_cats.csv
R0016,酒店,0,酒店环境一般，服务有待进一步提高，态度不热情，，距离机场近，去机场方便,online_shopping_10_cats.csv
R0017,计算机,0,分区只有一个C盘，而且没有光驱。备份系统比较麻烦。如果随意分区的话，很可能把备份系统给破坏,online_shopping_10_cats.csv
R0018,洗发水,0,好差，洗完头发又养头皮屑走多，根本无法保证是正品，只能用一次，第二次都不想用,online_shopping_10_cats.csv
R0019,酒店,1,酒店由假日酒店改成了千禧酒店，服务质量还不错，不过专业技能需要进一步提高--可能是有一些新人的原因吧。总体来说不错。,online_shopping_10_cats.csv
R0020,洗发水,0,洗完出头屑，这种情况要不要给个说法？,online_shopping_10_cats.csv
R0021,手机,1,我是前天去买了这款手机，拿来摆弄两天后，发现这款机子确实不错她几乎包含了市场上中等机所有的功能，且又是彩屏机。,online_shopping_10_cats.csv
R0022,洗发水,1,使用日期都是到2028年的，京东自营的东西真心不错，值得信赖的,online_shopping_10_cats.csv
R0023,洗发水,1,这么多东西，才99元真划算，相信JD，好评,online_shopping_10_cats.csv
R0024,书籍,0,此书牵强附会，完全无涉公平问题，纯粹为了炫耀自己的伟大。,online_shopping_10_cats.csv
R0025,衣服,1,东西很不错，质量挺好的，穿着挺舒服，很好的一次购物。赞一个,online_shopping_10_cats.csv
R0026,衣服,0,好渣阿第一次穿就起毛还烂了狗血,online_shopping_10_cats.csv
R0027,水果,0,火龙果太小了，我在超市买，一斤左右很大的果，这个太小了！要是在超市，我肯定看都不看一眼！失望！！？,online_shopping_10_cats.csv
R0028,蒙牛,0,什么三鹿蒙牛的都太可怕了 还是从小儿喝的北京自己的三元最靠谱儿,online_shopping_10_cats.csv
R0029,酒店,1,"本人住过国内外酒店过百家,在珠海都住过好几家,我们4大2小于国庆节入住这家挂牌四星公寓酒店的豪华三人套,现和大家分享一下：好的方面:1.酒店是由几座商品房改造的,外部环境不错,绿树成荫,房间面积大(2房一厅);2.酒店的康乐活动有保龄球,高尔夫球练习场,网球,游泳,等等,(须另外收费);3.酒店的停车方便,而且不收费;4.客房内的食品价格不高，5.服务态度好,服务员会带客人上到房间,并介绍房间设施,入住和退房较快.不好的方面:1. 设施不豪华,只能算舒适,客房内的厨房如要使用另加30元一天,2.客房内毛巾清洁的不够专业,床和床上用品质量普通，3.客房内的保养做的不足,如睡房内的床头灯不能调节光度,4. 如有小孩的,睡房内的窗户打开后一定要小心,因为窗户距床很近,不要让小孩子一个人在床上玩(酒店方面应该要有提示,或将窗户做成只能打开15-20厘米).补充点评 2008年1月11日 ： 总的来说,这个酒店的硬件最多3星水平;最大的好处是周边环境比较好.",online_shopping_10_cats.csv
R0030,书籍,1,我是经过老师的推荐从网上买的这本书，最近看了几天着重看了一下中小型网络系统方案这块。我觉得这本的好处在于：拿过一个方案，他不是蒙着头来说而是引导一个人一步一步的顺着逻辑思路走。给人一条线你就能觉得这条线很直。没有哪么多的坎坷。接下来当我们真正做项目做设计的时候我们也就会很容易很轻松的完成从拓扑图的设计，到项目的成功结束。理论联系实践，实践证实理论。,online_shopping_10_cats.csv
R0031,计算机,1,轻便，电池使用时间长，速度也可以，看码率5M以下的h264，720p视频质量尚可。其他功能不错。,online_shopping_10_cats.csv
R0032,衣服,1,试过了，一般般，还好价格不贵,online_shopping_10_cats.csv
R0033,书籍,1,儿子六岁。爱看书，这是送给他的六一礼物。中午，看着动画片。我说，妈妈给你买了本书，放在他怀里，走开。他瞟了一眼，再看电视。再瞟一眼，再也没有放下。整整一周，出门吃个饭也带着。着迷一般。看了一遍再来一遍。我发现，孩子看书他并没有全部都领悟，但他照样可以乐趣无穷。他有他六岁与众不同的理解。这可是我高中才接触的东东哦。,online_shopping_10_cats.csv
