review_id,category,label_raw,review_text,source_file,review_time
R0321,水果,1,苹果很甜 比超市便宜 质量也没的说 快递服务也好,online_shopping_10_cats.csv,2026-01-02 16:34:41
R0718,平板,0,我购买的《通信专业综合能力（中级）》，明明是纸书购买，结果是电子的，从购买页面看，欺骗和误导消费者。,online_shopping_10_cats.csv,2026-01-10 21:01:51
R0499,计算机,1,做工扎实，按键设计很人性化，散热很好，带有正版系统让人用着有点名正言顺的感觉。完美屏，很像镜面屏。这款是带有麦克风的，好像参数里没写，有点惊喜。解压系统很快，加装内存也方便，拆了两个螺丝抠下后盖就可以插了，说明书里有图解。赞一下京东送到赠品：thinkpad原装包包我超喜欢，第一次拥有这么设计人性化的包包；三星内存条1G，很容易安装，弥补了本本内存小的缺陷；thinkpad小黑鼠标，好用可爱；,online_shopping_10_cats.csv,2026-03-10 15:02:38
R0225,手机,1,有“移动”标志。按键很舒服，很有弹性。蓝色键盘灯散发出来的光线也非常漂亮。摄像头具备补光灯，夜拍时可以好好地利用。它的接口比较多，支持红外、蓝牙；还有USB，和电脑上的USB联上，信息就可以共享了,online_shopping_10_cats.csv,2026-02-12 10:24:19
R0869,衣服,1,一直喜欢班尼路纯色T这个系列，纯棉材质非常舒服，一直当打底穿，夏天也可以直接穿，简洁大方。,online_shopping_10_cats.csv,2026-02-11 06:32:08
R0372,衣服,1,很赞的裤子，料子也很好，质感非常棒，下次还会再来！,online_shopping_10_cats.csv,2026-03-09 04:11:34
R0505,热水器,0,好用 ，自己准备角阀和淋浴龙头，师傅来安装就收了40元，两根波纹管,online_shopping_10_cats.csv,2026-01-31 18:55:44
R0822,水果,1,很好吃！我很喜欢买了很多！吃完了再来……,online_shopping_10_cats.csv,2026-01-04 21:23:34
R0935,手机,1,一：沉稳的黑色机身，银色边框，有一种说不出的神秘感。二：手感不错，胶质外壳，温润贴手。按键较大，布局合理，既使边角键，也易操作无误。三：声音性能突出，既使免提接听，音量和音质都比较出色。支持MP3、MEPG4。扬声器的三维环绕音效、内置震动器、彩灯随节奏闪烁，营造出了享受音乐的氛围。在“摩托混吧”，还有集下载、编辑、创作的开放式平台，可满足音乐迷的不同需求。四：带补光并可变焦调节的30万像素相机。五：TFT屏幕色彩饱满鲜亮，对比度也较高。六：时尚的娱乐功能全面：彩信收发、蓝牙、K-Java下载、移动QQ。七：内置多种主题和面板风格。八：附送64MB SD Trans-Flash闪存卡，便于存储。,online_shopping_10_cats.csv,2026-01-30 19:51:35
R0611,书籍,1,本来对本书期望不大的，因为我一向喜欢余杰，而且对祝勇以前的一些观点不是很赞同，但是看了此书以后，对祝勇的思想痕迹有了了解，更为深刻的理解了祝勇的一些观点，总的说来，祝勇对于他人的剖析有理性（对余杰的批评有些过了），对问题的阐述比较客观。不过还有露出了文人相轻的感觉，如同楼上的那位朋友所说，对自己太看得起了。总结：建议一读。,online_shopping_10_cats.csv,2026-02-17 02:16:23
R0131,衣服,1,裤子很不错，摸着很舒服，质量特别好，洗了也不掉色。,online_shopping_10_cats.csv,2026-02-04 14:18:58
R0824,平板,1,买来看word和ppt的，自带办公软件，棒！,online_shopping_10_cats.csv,2026-03-08 10:58:24
R0013,平板,0,恢复出厂设置还是这样。醉了。玩儿着总弹出来。,online_shopping_10_cats.csv,2026-02-20 06:58:07
R0744,平板,1,刚刚收到了宝贝！快递大哥很及时！到店就给我送过来了、刚刚拆开就晒图了还没来得及用！不过发现木有赠品系列产品也木有皮套钢化膜之类的！商家太小气了吧,online_shopping_10_cats.csv,2026-01-15 10:07:56
R0073,酒店,0,定了两间房，酒店登记太慢，足足等了快一小时。早餐还要排队，又难吃，提了建议也不听。是我住过最差的五星，根本不值这个价格,online_shopping_10_cats.csv,2026-03-08 01:19:48
R0551,衣服,1,看起来很不错，质量的话时间才知道,online_shopping_10_cats.csv,2026-04-03 07:54:43
R0927,洗发水,0,刚刚逛了大超市，这3瓶总价*。网上店铺图片上标识*现在买*。分明是欺骗消费者。下次再也不会买它家的产品了。,online_shopping_10_cats.csv,2026-03-19 00:06:50
R0254,水果,0,这次买的超级不好吃，粉粉的，一点也不脆,online_shopping_10_cats.csv,2026-02-06 19:31:26
R0346,平板,1,很好，很强大，很漂亮，支持国货!,online_shopping_10_cats.csv,2026-03-19 23:44:02
R0430,酒店,1,我们住的是8号五星楼，总体来讲还可以，服务还有些欠缺，退房是时间太长宾馆反馈 2008年5月6日 ： 非常感谢您入住金陵溧阳宾馆 ，并通过网站将您的入住感受与我们分享。我们宾馆始终致力于不断提升酒店的软件和硬件设备，为客人提供良好的入住环境和美好的入住体验，您的意见我们已做过专题讨论会，对于退房等一系列服务已做出改进。恭候您的再次光临！,online_shopping_10_cats.csv,2026-03-24 10:45:03
R0666,酒店,1,设施有点老化了，但毕竟是闹中取静的地方！洗漱用的东东配的挺齐全的！,online_shopping_10_cats.csv,2026-02-26 06:02:07
R0684,平板,1,试用了半天，还行，不过确实黑边太大了一点，但是只要质量过硬也算值得，另外声音不是很大，只希望能耐用就行了。,online_shopping_10_cats.csv,2026-02-14 02:39:52
R0658,蒙牛,1,我好喜欢这个广告。还有蒙牛那个广告我也好喜欢。 陈欧真是年轻帅气啊，这广告是自己想出来的吗？,online_shopping_10_cats.csv,2026-01-31 13:08:45
R0592,洗发水,0,差评，绝对差评，电话也不打，货放哪也不知道，收货人没见货就敢签收,online_shopping_10_cats.csv,2026-04-03 01:40:33
R0795,蒙牛,0,那你喝什么？伊利？ 牛奶，永不喝蒙牛！,online_shopping_10_cats.csv,2026-03-07 13:41:32
R0715,水果,1,很甜，京东冷链很不错，觉得比潘苹果好吃,online_shopping_10_cats.csv,2026-02-06 10:19:10
